Bank reference,Narrative,Customer reference,TRN type,Value date,Credit amount,Debit amount,Time,Post date,Balance
NCBK82424366APQE,)ركة انفال الادارية )شركة شخص واحد )الادارية )شركة شخص واحد مصاريف تشغيل TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"5,661.45",,12:38,31/12/2024,"17,291,617.12"
NCBK82424366AOQV,ركة حمد بن عبدالله بن سليمان المني عبدالله بن سليمان المني مصاريف تشغيل TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"18,030.85",,12:02,31/12/2024,"17,285,955.67"
NCBK82424366AOPF,شركة الاعتصام الخليجي للتجاره الاعتصام الخليجي للتجاره Operating Expenses TFR+ Operational Maintenance NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"49,337.89",,12:02,31/12/2024,"17,267,924.82"
YRTI-22263,LP IPSP2400MLK07 OPTIMAL TECHNOLOGY SOLUT SA2080000446608016066666 Alrajhi Bank RIYADH 20241231SARJHIRJHI6BOPF11201632614 31DEC24 12:01:52,NONREF,Transfer,31/12/2024,"15,065.00",,12:01,31/12/2024,"17,218,586.93"
NCBK9812436404FP,MUWAZANA FINANCIAL LIMITED MUWAZANA FINANCIAL LIMIT 0101INVOICE PAYMENT AND TFR+ NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 JO42UBSI1010000015465574215101,NONREF,Transfer,31/12/2024,"22,782.44",,11:52,31/12/2024,"17,203,521.93"
P134009641EBPLUS,ARABTECH JARDANEH AND PARTNERS ENG ARABTECH JARDANEH AND PA COMPANIES FOR OTHER PURP TFR+ Q4 2024 invoices ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"70,036.23",,11:13,31/12/2024,"17,180,739.49"
NCBK82424366ALCC,شركة ايوان الضيافة لتشغيل الفنادق TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 65900000637103 TRF FROM:SAUDI ARABIA,NONREF,Transfer,31/12/2024,"66,804.64",,11:06,31/12/2024,"17,110,703.26"
EPHR98124366FVB2,SULZER SAUDI PUMP COMPANY TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000040217100160 TRF FROM:SAUDI ARABIA 3918 14334,NONREF,Transfer,31/12/2024,"217,280.75",,11:01,31/12/2024,"17,043,898.62"
YRTI-18673,LP IPSP2400MLD91 شركة شقران الوقفية SA3205000068203472662000 Alinma bank RIYADH 20241231SAINMAINMA6BXXX11059254085 31DEC24 11:00:12,NONREF,Transfer,31/12/2024,"1,207.50",,11:00,31/12/2024,"16,826,617.87"
5.00003E+11,JAMEAT ZAMZM /33/Repayment of Loans TFR+ INTB0041814773770000359E4C317369 AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA1980000377608010000359,NONREF,Transfer,31/12/2024,"81,227.64",,10:53,31/12/2024,"16,825,410.37"
9466836609512YXD,شركة مداد للحلول المكتبية المحدودة للحلول المكتبية المحدودة الفواتير / مشتريات TFR+ invoices 41 invoices RIYAD BANK HEAD OFFICE RIYADH,NONREF,Transfer,31/12/2024,"419,190.90",,10:51,31/12/2024,"16,744,182.73"
9466836509512XSA,فندق حياة بلايس الرياض بالسليماني بلايس الرياض بالسليماني Purchase/expenses/Hotel TFR+ 104833 104834 RIYAD BANK HEAD OFFICE RIYADH EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"131,276.87",,10:42,31/12/2024,"16,324,991.83"
FT24365138820870,ALBILAD INVESTMENT COMPANY ALBILAD INVESTMENT COMPA SETTLEMENT OF BILLS TFR+ NO INV0045987 TELEPHONE FEES BANK AL BILAD BANK AL BILAD EX Rate : SAR 1.0000000,NONREF,Transfer,31/12/2024,"15,295.64",,10:36,31/12/2024,"16,193,714.96"
7.08902E+13,HUMAN RESOUACES DEVELOPMENT FUND HUMAN RESOUACES DEVELOPM /BONUS/ TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 UMAN RESOUACES DEVELOPMENT FUND,NONREF,Transfer,31/12/2024,"9,000.00",,10:36,31/12/2024,"16,178,419.32"
7.08902E+13,HUMAN RESOUACES DEVELOPMENT FUND HUMAN RESOUACES DEVELOPM /BONUS/ TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 UMAN RESOUACES DEVELOPMENT FUND,NONREF,Transfer,31/12/2024,"109,630.00",,10:36,31/12/2024,"16,169,419.32"
7.08902E+13,HUMAN RESOUACES DEVELOPMENT FUND HUMAN RESOUACES DEVELOPM /BONUS/ TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 UMAN RESOUACES DEVELOPMENT FUND,NONREF,Transfer,31/12/2024,"18,000.00",,10:28,31/12/2024,"16,059,789.32"
300972100FYB,ALIMTYAZ ALRIYADI TFR+ 2ND PAYMENT AUG-24,SALAM 2ND AUG,Transfer,31/12/2024,"22,316.04",,10:26,31/12/2024,"16,041,789.32"
YRTI-12302,LP IPSP2400ML0UJ MADARAT COMPANY SA5680000362608018899999 Alrajhi Bank RIYADH 20241231SARJHIRJHI6BOPF10855329842 31DEC24 08:55:46,NONREF,Transfer,31/12/2024,"13,196.25",,8:55,31/12/2024,"16,019,473.28"
YRTI-12042,LP IPSP2400MKZTO مات الصحيه التطوعيه بجده SA1980000377608010000359 Alrajhi Bank RIYADH 20241231SARJHIRJHI6BOPF10846315626 31DEC24 08:47:06,NONREF,Transfer,31/12/2024,"9,662.69",,8:47,31/12/2024,"16,006,277.03"
YRTI-05824,LP IPSP2400MKMCN اﻻت و تق نية المعلومات SA7910000012347102005802 Saudi National Bank JEDDAH 20241231SANCBKNCBK6B82410052877960 31DEC24 00:53:16,NONREF,Transfer,31/12/2024,"7,080.00",,0:53,31/12/2024,"15,996,614.34"
YRTI-51276,LP IPSP2400MK366 ELECTRICAL AND POWER CON SA9730400108095222420010 Arab National Bank RIYADH 20241230SAARNBARNB1B93712045554426 30DEC24 20:45:27,NONREF,Transfer,30/12/2024,"11,202.15",,20:45,30/12/2024,"15,989,534.34"
677872501QV3,ACE GALLAGHER ARABIA CO TFR+,SALAM INVOICES,Transfer,30/12/2024,"402,615.00",,16:42,30/12/2024,"15,978,332.19"
868672300S9E,SELA COMPANY TFR+,"PHONUSAGEOCT,NOV",Transfer,30/12/2024,"15,583.72",,15:12,30/12/2024,"15,575,717.19"
9466836509512VC8,شركة زهير فايز ومشاركوه للاستشارات فايز ومشاركوه للاستشارات expenses/Other TFR+ Against Inv 240721190630 MINV00115669 RIYAD BANK HEAD OFFICE RIYADH,NONREF,Transfer,30/12/2024,"44,028.90",,14:19,30/12/2024,"15,560,133.47"
010141230H003840,YANAL FINANCE COMPANY تسديد فواتير TFR+ SAUDI INVESTMENT BANK RIYADH EX Rate : SAR 1.0000000 0101 000122 001 TRF FROM:SAUDI ARABIA 3612 PR FAWAZ BIN ABDULAZIZ,NONREF,Transfer,30/12/2024,"144,637.80",,13:43,30/12/2024,"15,516,104.57"
280872501EV1,ACE GALLAGHER ARABIA CO TFR+,SALAM INVS,Transfer,30/12/2024,"360,087.87",,13:20,30/12/2024,"15,371,466.77"
NCBK82424365AQUS,شركة الرياض العالمية للاغذية الرياض العالمية للاغذية Operating Expenses TFR+ Operational Maintenance NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,30/12/2024,"1,207.50",,13:07,30/12/2024,"15,011,378.90"
LP CPM4057MZ,"CHARGES SAR 7.00 5388724022KA CORP OPS DIV RIYADH TOTAL VAT SAR1,05 ON CHARGE AMOUNT SAR7,",609720,Charges,30/12/2024,,-8.05,12:45,30/12/2024,"15,010,171.40"
LP CPM4057MZ,TECHNICAL LINKS SERVICES COMPANY 5388724022KA BANQUE SAUDI FRANSI CORP OPS DIV RIYADH EX Rate : SAR 1.0000000 BANQUE SAUDI FRANSI TRF TO:SAUDI ARABIA,609720,Transfer,30/12/2024,,"-15,000,000.00",12:45,30/12/2024,"15,010,179.45"
36997250155W,ERNST AND YOUNG COMPANY 154-006662-001 /RFB/ITC INVOICE PAYMENT /INV/SA01700002721,609575,Transfer,30/12/2024,,"-351,900.00",12:44,30/12/2024,"30,010,179.45"
5.00003E+11,AHMED G ALGHAMDI AND BROS CO AHMED G ALGHAMDI AND BRO INTB0054097201700028482E TFR+ AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000,NONREF,Transfer,30/12/2024,"23,805.00",,12:39,30/12/2024,"30,362,079.45"
YRTI-22749,LP IPSP2400MHUY9 Al Zahraa General Hospit SA3730400107030209850016 Arab National Bank RIYADH 20241230SAARNBARNB1B66611229215206 30DEC24 12:30:18,NONREF,Transfer,30/12/2024,"14,870.20",,12:30,30/12/2024,"30,338,274.45"
6958721014PF,SAUDI ELECTRONIC GAMING TFR+,NONREF,Transfer,30/12/2024,"240,175.20",,12:14,30/12/2024,"30,323,404.25"
9466836509512U4M,شركة الفاضلي للتشغيل والصيانة شركة TFR+ invoices payment 424000953 RIYAD BANK HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA1120000003233221899940,NONREF,Transfer,30/12/2024,"86,016.27",,12:09,30/12/2024,"30,083,229.05"
YRTI-21077,LP IPSP2400MHOLQ ROSH RAYHAAN BY ROTANA SA3930400108095224760015 Arab National Bank RIYADH 20241230SAARNBARNB1B31111158196448 30DEC24 11:58:57,NONREF,Transfer,30/12/2024,"14,406.76",,11:58,30/12/2024,"29,997,212.78"
YRTI-20969,LP IPSP2400MHODC AFRAS CO FOR TRADING AND SA9320000002970013229948 Riyad Bank RIYADH 20241230SARIBLRIBL6BTMS11156647078 30DEC24 11:56:49,NONREF,Transfer,30/12/2024,"6,440.00",,11:56,30/12/2024,"29,982,806.02"
EPHR98124365E0H4,SICO CAPITAL INV240711224686 TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000078131500151 TRF FROM:SAUDI ARABIA 0000 11546,NONREF,Transfer,30/12/2024,"36,225.00",,11:43,30/12/2024,"29,976,366.02"
EPHR98124365E0H2,SICO CAPITAL MINV00132508 TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000078131500151 TRF FROM:SAUDI ARABIA 0000 11546,NONREF,Transfer,30/12/2024,"34,943.54",,11:43,30/12/2024,"29,940,141.02"
EPHR98124365E0GY,SICO CAPITAL MINV00132507 TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000078131500151 TRF FROM:SAUDI ARABIA 0000 11546,NONREF,Transfer,30/12/2024,"34,943.54",,11:43,30/12/2024,"29,905,197.48"
EPHR98124365E0GV,SICO CAPITAL MINV00133920 TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000078131500151 TRF FROM:SAUDI ARABIA 0000 11546,NONREF,Transfer,30/12/2024,"36,225.00",,11:43,30/12/2024,"29,870,253.94"
LP IPSP2400MHKLJ,"20241230SASABBSABB6BNET11132161974 TOT CHG SAR 1.00 RIYAD BANK HEAD OFFICE RIYADH VATABLE SAR 1.00 VAT AMT SAR 0.15 STANDARD RATE AT 000000000000015 TOTAL VAT SAR0,15 ON CHARGE AMOUNT SAR1,",FIN SETT 4362241,Charges,30/12/2024,,-1.15,11:32,30/12/2024,"29,834,028.94"
LP IPSP2400MHKLJ,NADIA MOHAMMED OMAR ABDULMOHSEN 20241230SASABBSABB6BNET11132161974 SA8620000003472740559940RIYAD BANK HEAD OFFICE RIYADHEX Rate SAR 1.0000000,FIN SETT 4362241,Transfer,30/12/2024,,"-17,851.00",11:32,30/12/2024,"29,834,030.09"
LP CPMN2ZNISIRN,"CHARGES SAR 7.00 45067250114K THE NATIONAL COMMERCIAL BANK TOTAL VAT SAR1,05 ON CHARGE AMOUNT SAR7,",609725,Charges,30/12/2024,,-8.05,11:32,30/12/2024,"29,851,881.09"
LP CPMN2ZNISIRN,DAWIYAT INTEGRATED TELECOM 45067250114K INTEGRATED TELECOM CO. NATIONAL COMMERCIAL BANK THE NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 NATIONAL COMMERCIAL BANK,609725,Transfer,30/12/2024,,"-4,000,000.00",11:32,30/12/2024,"29,851,889.14"
LP CPMN2ZNIOIRN,"CHARGES SAR 7.00 679172401B4R THE NATIONAL COMMERCIAL BANK TOTAL VAT SAR1,05 ON CHARGE AMOUNT SAR7,",MANUAL 4362350,Charges,30/12/2024,,-8.05,11:32,30/12/2024,"33,851,889.14"
LP CPMN2ZNIOIRN,SHAIK ALAUDEEN JAHABAR MARKAR 679172401B4R NATIONAL COMMERCIAL BANK THE NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 NATIONAL COMMERCIAL BANK TRF TO:SAUDI ARABIA,MANUAL 4362350,Transfer,30/12/2024,,"-6,409.00",11:32,30/12/2024,"33,851,897.19"
LP CPMN2ZNINIRN,"CHARGES SAR 7.00 356672401EFP DOLLAR CLEARING A/C JEDD AH TOTAL VAT SAR1,05 ON CHARGE AMOUNT SAR7,",FIN SETT 4362246,Charges,30/12/2024,,-8.05,11:32,30/12/2024,"33,858,306.19"
LP CPMN2ZNINIRN,ABDULLAH MUBARAK MASOUD ALASMARI 356672401EFP BANK AL-JAZIRA DOLLAR CLEARING A/C JEDD AH EX Rate : SAR 1.0000000 BANK AL-JAZIRA TRF TO:SAUDI ARABIA,FIN SETT 4362246,Transfer,30/12/2024,,"-28,803.00",11:32,30/12/2024,"33,858,314.24"
0460724001XJ,ARAR GHASSAN 815-009675-001,609717,Transfer,30/12/2024,,"-35,000.00",11:32,30/12/2024,"33,887,117.24"
SDR5-00029,SEVING THOMAS THDMDIYIL SADAD SNB17676 ID : I 2531931729 RYADH 0533397327 SNB,NONREF,Cheque,1/1/2025,"31,050.00",,11:27,30/12/2024,"33,922,117.24"
047272501JQ2,FOUR WINDS SAUDI ARABIA TFR+,VPYMT-JED1601,Transfer,30/12/2024,"11,033.10",,11:24,30/12/2024,"33,891,067.24"
SA2OL2412300000U,LANDMARK ARABIA COMPANY TFR+ /Narr/BRT 1201000714 Misc Payment STANDARD CHARTERED CAPIT AL (SAUDI A STANDARD CHARTERED CAPIT AL SAUDI EX Rate : SAR 1.0000000,NONREF,Transfer,30/12/2024,"6,641.25",,11:16,30/12/2024,"33,880,034.14"
5.00003E+11,KUN SPORTS COMPANY TFR+ AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA1780000577608010071002 TRF FROM:SAUDI ARABIA,NONREF,Transfer,30/12/2024,"99,000.00",,11:12,30/12/2024,"33,873,392.89"
V241230101050624,401014602225901 :تنفيذ قضااى 401014602225901 :ذ قضااى /99/17031623 TFR+ AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000,NONREF,Transfer,30/12/2024,"1,500.00",,11:12,30/12/2024,"33,774,392.89"
010141230H003788,MOHAMMED SAAD ALBAWARDY AND SONS CO TFR+ MINV00139792 SAUDI INVESTMENT BANK RIYADH EX Rate : SAR 1.0000000 0138 588802 004 TRF FROM:SAUDI ARABIA,NONREF,Transfer,30/12/2024,"112,677.00",,11:11,30/12/2024,"33,772,892.89"
NCBK82424365ALOM,RIYADH SCHOOLS (CUR) مصاريف تشغيل TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 53600003282208 TRF FROM:SAUDI ARABIA,NONREF,Transfer,30/12/2024,"575,409.30",,11:06,30/12/2024,"33,660,215.89"
NCBK82424364AQTI,AL RUSHAID TECH CO TFR+ Full payment of Finished Goods NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 95400004899008 TRF FROM:SAUDI ARABIA,NONREF,Transfer,30/12/2024,"178,530.22",,10:58,30/12/2024,"33,084,806.59"
YRTI-16367,LP IPSP2400MHC4E SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11033138187 30DEC24 10:33:25,NONREF,Transfer,30/12/2024,"3,570.75",,10:33,30/12/2024,"32,906,276.37"
YRTI-16353,LP IPSP2400MHBJA SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11033138174 30DEC24 10:33:13,NONREF,Transfer,30/12/2024,"3,570.75",,10:33,30/12/2024,"32,902,705.62"
YRTI-16346,LP IPSP2400MHC4A SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11032138170 30DEC24 10:33:07,NONREF,Transfer,30/12/2024,"3,570.75",,10:33,30/12/2024,"32,899,134.87"
YRTI-16327,LP IPSP2400MHBJ0 SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11032138163 30DEC24 10:32:55,NONREF,Transfer,30/12/2024,"11,730.00",,10:32,30/12/2024,"32,895,564.12"
YRTI-16320,LP IPSP2400MHBTE SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11032138158 30DEC24 10:32:49,NONREF,Transfer,30/12/2024,"3,570.75",,10:32,30/12/2024,"32,883,834.12"
YRTI-16309,LP IPSP2400MHBTD SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11032138152 30DEC24 10:32:43,NONREF,Transfer,30/12/2024,"14,791.38",,10:32,30/12/2024,"32,880,263.37"
YRTI-16306,LP IPSP2400MHBIT SICO CAPITAL SA5655000000078131500151 Banque Saudi Fransi RIYADH 20241230SABSFRBSFR6BCFT11032138149 30DEC24 10:32:40,NONREF,Transfer,30/12/2024,"11,730.00",,10:32,30/12/2024,"32,865,471.99"
ECOF41229H000915,DIGITAL SOLUTIONS PROVIDER CO.LTD DIGITAL SOLUTIONS PROVID Operational Expenses TFR+ BANK AL-JAZIRA HEAD OFFICE JEDDAH EX Rate : SAR 1.0000000 SA2560000000006788788001,NONREF,Transfer,30/12/2024,"200,000.00",,10:31,30/12/2024,"32,853,741.99"
4364374DC0047448,IBHAR ALBENA REAL ESTATE CO IBHAR ALBENA REAL ESTATE مصاريف أو خدمات TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 0108056128370014,NONREF,Transfer,30/12/2024,"389,250.00",,10:20,30/12/2024,"32,653,741.99"
EPHR98124365D356,TADHAMON AL HIMMA CO. LTD. RADISSON TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000099399200134 TRF FROM:SAUDI ARABIA 7403 34334,NONREF,Transfer,30/12/2024,"265,276.56",,10:18,30/12/2024,"32,264,491.99"
EPHR98124365D39W,ALJUBAIL INDUSTRIAL CITY HOTEL CO. ALJUBAIL INDUSTRIAL CITY INVOICE PAYMENT TFR+ BANQUE SAUDI FRANSI HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5655000000096866300147,NONREF,Transfer,30/12/2024,"70,035.00",,10:18,30/12/2024,"31,999,215.43"
NCBK82424364AJRD,ؤسسة مكامن التوريد للاتصالات و تقن التوريد للاتصالات و تقن مصاريف تشغيل TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,30/12/2024,"45,505.00",,10:02,30/12/2024,"31,929,180.43"
609472101OTY,GULF INDUSTRIAL GROUP TFR+,NONREF,Transfer,30/12/2024,"22,321.50",,22:23,30/12/2024,"31,883,675.43"
ZAFD-00329,"STANDING INSTRUCTION 001 MONTHLY HSBCNET CHARGES 29DEC24 20:10:22 TOTAL VAT SAR45, ON CHARGE AMOUNT SAR300,",NONREF,Charges,29/12/2024,,-45,20:10,29/12/2024,"31,861,353.93"
ZAFD-00329,STANDING INSTRUCTION 001 MONTHLY HSBCNET CHARGES RIYADH 29DEC24 20:10:22,NONREF,Transfer,29/12/2024,,-300,20:10,29/12/2024,"31,861,398.93"
ZAFA-00034,TRANSFER FROM LOUIS BERGER LOUIS BERGER SUPPLIER PAYMENT INV,NONREF,Transfer,29/12/2024,"9,131.89",,20:08,29/12/2024,"31,861,698.93"
YRTJ-31560,LP IPSP2400MFRD8 تصاﻻت التقنية التجارية SA3910000008667817000108 Saudi National Bank JEDDAH 20241229SANCBKNCBK6B82411853060863 29DEC24 18:53:58,NONREF,Transfer,29/12/2024,"9,803.18",,18:53,29/12/2024,"31,852,567.04"
514372401OJE,GEIDEA FOR TECHNOLOGY CO TFR+,1800001462,Transfer,29/12/2024,"639,914.31",,17:08,29/12/2024,"31,842,763.86"
YRTJ-23895,LP IPSP2400MFB0Y CONSUMER FOOD CO SA7780000514608010020013 Alrajhi Bank RIYADH 20241229SARJHIRJHI6BOPF11633726550 29DEC24 16:33:44,NONREF,Transfer,29/12/2024,"7,210.50",,16:33,29/12/2024,"31,202,849.55"
BTPT-00310,20241229154111 7001472674BLR:094SVR:026 SADAD:5690680785,list 111,Transfer,29/12/2024,,-300,15:41,29/12/2024,"31,195,639.05"
BTPS-00308,20241229154110 7001472674BLR:094SVR:026 SADAD:5690678765,list 111,Transfer,29/12/2024,,-300,15:41,29/12/2024,"31,195,939.05"
BTPR-00307,20241229154109 2554393047BLR:090SVR:003 SADAD:5690680745,LIST 111,Transfer,29/12/2024,,-650,15:41,29/12/2024,"31,196,239.05"
BTPN-00305,20241229154104 7021690339BLR:095SVR:039 SADAD:5690678667,110,Transfer,29/12/2024,,"-2,000.00",15:41,29/12/2024,"31,196,889.05"
BTPH-00310,20241229154053 2287243105BLR:090SVR:003 SADAD:5690680475,list 108,Transfer,29/12/2024,,-650,15:40,29/12/2024,"31,198,889.05"
NCBK82424364AVBO,شركة الرياض العالمية للاغذية الرياض العالمية للاغذية Operating Expenses TFR+ Operational Maintenance NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000,NONREF,Transfer,29/12/2024,"16,560.00",,15:33,29/12/2024,"31,199,539.05"
P133834941EBPLUS,RAYADAH INTERNET SERVICE PROVIDER RAYADAH INTERNET SERVICE COMPANIES FOR OTHER PURP TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 0108095317070014,NONREF,Transfer,29/12/2024,"900,000.00",,15:33,29/12/2024,"31,182,979.05"
5.00003E+11,MIDDLE EAST AND NORTH AFRICA BEVERA TFR+ AL RAJHI BANKING AND INV T CORP HEAD OFFICE RIYADH EX Rate : SAR 1.0000000 SA5980000425608013002008 TRF FROM:SAUDI ARABIA,NONREF,Transfer,29/12/2024,"122,800.45",,14:54,29/12/2024,"30,282,979.05"
714872401JYQ,ALMOUWASAT DAMMAM TFR+,V.PYM-DEC.24,Transfer,29/12/2024,"16,905.00",,13:59,29/12/2024,"30,160,178.60"
NCBK82424364ARLS,ركه الشرق الأوسط للانترنت المحدودة TFR+ فواتير خدمات NATIONAL COMMERCIAL BANK NATIONAL COMMERCIAL BANK EX Rate : SAR 1.0000000 25056888000109 TRF FROM:SAUDI ARABIA,NONREF,Transfer,29/12/2024,"1,400,563.00",,13:54,29/12/2024,"30,143,273.60"
1.95702E+13,HUMAN RESOUACES DEVELOPMENT FUND TFR+ ARAB NATIONAL BANK RIYADH BRANCH EX Rate : SAR 1.0000000 UMAN RESOUACES DEVELOPMENT FUND TRF FROM:SAUDI ARABIA 67778 11517,NONREF,Transfer,29/12/2024,"64,130.00",,13:26,29/12/2024,"28,742,710.60"
YRTJ-12590,LP IPSP2400MEL1L MOBILE BUSINESS COMPANY SA6620000002580926839940 Riyad Bank RIYADH 20241229SARIBLRIBL6BTMS11318186478 29DEC24 13:18:42,NONREF,Transfer,29/12/2024,"12,500.00",,13:18,29/12/2024,"28,678,580.60"
1604FT24364ZH4WC,HOTELS CROWNE PLAZA ALSALAM HOTELS CROWNE PLAZA ALSA 23173545701141400 CROWNE TFR+ SALAM SETTLEMENT OF BILL ALINMA BANK ALINMA BANK,NONREF,Transfer,29/12/2024,"69,000.00",,13:18,29/12/2024,"28,666,080.60"
